"top","degs","seed","train","test","ntimes","avgtime"
10,49,3000,100,60,10,0.10262
20,99,3000,100,68.57,10,0.07618
30,148,3000,100,65.71,10,0.10529
40,195,3000,100,65.71,10,0.13469
50,242,3000,100,70,10,0.16468
60,288,3000,100,72.86,10,0.1927
70,336,3000,100,74.28,10,0.21988
80,379,3000,100,74.28,10,0.25164
90,426,3000,100,75.71,10,0.30232
100,474,3000,100,74.28,10,0.31334
110,514,3000,100,72.86,10,0.34322
120,560,3000,100,77.14,10,0.39057
150,699,3000,100,74.28,10,0.48888
200,913,3000,100,74.28,10,0.67906
300,1351,3000,100,75.71,10,1.17913
400,1796,3000,100,74.28,10,1.8314
500,2260,3000,100,72.86,10,2.97832
1000,4432,3000,100,74.28,10,12.46315
